id,date,amount,merchant,reference,currency
B1,2025-11-22,1510,DMart,0NF5WM6AMT,INR
B2,2025-11-12,996,zomato,81ZZP5TVUH,INR
B3,2025-11-12,183,DMART,6PMKT79BRE,INR
B4,2025-11-01,308,Reliance,MM2AEII5W8,INR
B5,2025-10-15,9985,Apple.Store,QJM1D9Y0HL,INR
B6,2025-11-24,14975,NETFLIX,Z92YT37Q9K,INR
B7,2025-10-31,2478,UBER,QXIRPQOSEK,INR
B8,2025-10-27,1500,Google Play India,G1E87GHDK4,INR
B9,2025-11-11,2484,DMART,C7Z7YKU459,INR
B10,2025-11-12,9981,Netflix,LPB1AKYBWR,INR
B11,2025-11-04,15004,air india,X2RYW5OV37,INR
B12,2025-11-21,306,Flipkart,3CQ7GIA0Q1,INR
B13,2025-11-01,1496,Netflix,6KV5UNFV0V,INR
B14,2025-11-23,472,Myntra,JWP8BOY9OP,INR
B15,2025-10-20,25010,Myntra India,UFA8O0DV3Z,INR
B16,2025-10-03,298,IRCTC,053XKOHUIZ,INR
B17,2025-11-09,193,google play,ACIPJ1AWSZ,INR
B18,2025-11-10,994,Apple Store India,BGESTXBXYT,INR
B19,2025-11-05,10017,Flipkart India,TD1W7N5Q5O,INR
B20,2025-10-13,209,DMART,H6BPRA9Y0T,INR
B21,2025-10-27,504,BigBasket,2NAMXJHA6R,INR
B22,2025-10-20,497,Uber India,L1M3W5H5BA,INR
B23,2025-11-25,4991,Uber India,7GGVNKLKBA,INR
B24,2025-11-09,5007,DMart,PX4VGF54NA,INR
B25,2025-10-20,9981,IRCTC India,4U8ASM8LDG,INR
B26,2025-11-17,1005,IRCTC India,LI8J7E1D4N,INR
B27,2025-10-07,775,Spotify India,DECOY0ZGL3,INR
B28,2025-11-02,25009,BookMyShow India,E8CN1XK6J0,INR
B29,2025-11-07,806,BigBasket,CD0R7Q978U,INR
B30,2025-11-16,1021,myntra,KQROW3Y54A,INR
B31,2025-10-14,1485,spotify,QQG48WWRRM,INR
B32,2025-10-24,1493,MakeMyTrip,R7VTCJZKUR,INR
B33,2025-10-25,15004,AmazonIndia,1VOS4YBJIH,INR
B34,2025-11-19,9984,IRCTC,U57J30J6OP,INR
B35,2025-11-24,1016,Amazon,PRPRKUJO0C,INR
B36,2025-11-11,797,Air.India,ZQEYHQXIMD,INR
B37,2025-10-01,2492,BOOKMYSHOW,9IDODWMBDK,INR
B38,2025-10-11,211,ola,MAKPDBTXYD,INR
B39,2025-11-12,14989,PAYTM MALL,OIMWAXINTI,INR
B40,2025-10-24,205,IRCTC,N075K95A1K,INR
B41,2025-11-28,519,Amazon,Y95AH7D9A7,INR
B42,2025-10-07,1505,IndiGo,00KHO9R3B4,INR
B43,2025-10-15,287,amazon india,BBT88YR99K,INR
B44,2025-11-25,15025,Uber,MENALGUK7I,INR
B45,2025-11-06,1519,Uber,W1ARY3FL7E,INR
B46,2025-10-22,304,Swiggy,EN282XLB7F,INR
B47,2025-11-18,24985,DMART,3UU2DX26AL,INR
B48,2025-11-28,1492,Air India India,8M4BFFYYGA,INR
B49,2025-10-20,800,GooglePlay,RLDUR8C4SZ,INR
B50,2025-10-27,500,AppleStore,LLY84XJWJT,INR
B51,2025-11-28,2515,reliance mart,99OT3FQCI2,INR
B52,2025-11-13,9987,Uber,UQILED9CY9,INR
B53,2025-10-03,15012,DMart,6KJC9L24FS,INR
B54,2025-10-14,521,Myntra,I5WYYIF0AA,INR
B55,2025-10-21,5013,netflix,SK65PE94BC,INR
B56,2025-10-13,501,AirIndia,U988MHF020,INR
B57,2025-11-19,994,Flipkart,IC4T8VS3BR,INR
B58,2025-10-26,25006,Apple Store India,MZZKYEOOBS,INR
B59,2025-10-04,1009,dmart,7QO8GIZXIK,INR
B60,2025-10-27,24994,BigBasket,LBA0O6B5AF,INR
B61,2025-10-30,501,Flipkart,00B0VCOZNZ,INR
B62,2025-11-19,10005,amazon india,3XF35253E4,INR
B63,2025-11-22,15019,ZOMATO,3JCAHW1VCW,INR
B64,2025-11-15,14978,Zomato India,POFUN1WZAS,INR
B65,2025-10-01,171,Ola India,5FQY3RBE3I,INR
B66,2025-12-01,2494,BigBasket,OVQKOE615Z,INR
B67,2025-11-28,1027,swiggy,VCB1UAPPLV,INR
B68,2025-11-09,197,Zomato,ISNAC8ABM5,INR
B69,2025-11-28,285,DMart India,UHHRW54DZI,INR
B70,2025-10-14,499,Uber,VIW357XBHR,INR
B71,2025-11-24,4991,irctc,B2CP4BTVAG,INR
B72,2025-11-20,24990,OLA,WIM5S5DL8Q,INR
B73,2025-11-08,25020,bookmyshow,V38U51WGMP,INR
B74,2025-11-09,2512,Myntra,EUTTYBFGSO,INR
B75,2025-11-22,9985,Swiggy,JYAGYNQNL5,INR
B76,2025-11-29,1494,DMart,A8KPLT5Q62,INR
B77,2025-10-10,482,Amazon.India,KXQKYGF81R,INR
B78,2025-10-30,527,Ola,91E8KBJ7C1,INR
