stmt_ref,booking_date,tx_val,description,ext_memo,unit
B1,2025.11.22,"₹ 1,510.00",DMART_LTD,0NF5WM6AMT,INR
B2,2025.11.12,₹ 996.00,ZOMATO/ONLINE,81ZZP5TVUH,INR
B3,2025.11.12,₹ 183.00,DMART *0912,6PMKT79BRE,INR
B4,01-Nov-2025,₹ 308.00,RELIANCE/ONLINE,MM2AEII5W8,INR
B5,10/15/25,"₹ 9,985.00",APPLE.STORE-INC,,INR
B6,2025.11.24,"₹ 14,975.00",NETFLIX_LTD,Z92YT37Q9K,INR
B7,31/10/2025,"₹ 2,478.00",UBER *0912,QXIRPQOSEK,INR
B8,27-Oct-2025,"₹ 1,500.00",GOOGLE PLAY INDIA POS-TRANS,G1E87GHDK4,INR
B9,11-Nov-2025,"₹ 2,484.00",DMART_LTD,C7Z7YKU459,INR
B10,12/11/2025,"₹ 9,981.00",NETFLIX-INC,LPB1AKYBWR,INR
B11,11/04/25,"₹ 15,004.00",AIR INDIA CORP,,INR
B12,11/21/25,₹ 306.00,FLIPKART *0912,3CQ7GIA0Q1,INR
B13,11/01/25,"₹ 1,496.00",NETFLIX/ONLINE,6KV5UNFV0V,INR
B14,23/11/2025,₹ 472.00,MYNTRA_LTD,JWP8BOY9OP,INR
B15,2025.10.20,"₹ 25,010.00",MYNTRA INDIA-INC,,INR
B16,10/03/25,₹ 298.00,IRCTC/ONLINE,053XKOHUIZ,INR
B17,09-Nov-2025,₹ 193.00,GOOGLE PLAY/ONLINE,ACIPJ1AWSZ,INR
B18,10-Nov-2025,₹ 994.00,APPLE STORE INDIA-INC,BGESTXBXYT,INR
B19,05-Nov-2025,"₹ 10,017.00",FLIPKART INDIA_LTD,TD1W7N5Q5O,INR
B20,2025.10.13,₹ 209.00,DMART POS-TRANS,H6BPRA9Y0T,INR
B21,10/27/25,₹ 504.00,BIGBASKET-INC,2NAMXJHA6R,INR
B22,20-Oct-2025,₹ 497.00,UBER INDIA/ONLINE,L1M3W5H5BA,INR
B23,2025.11.25,"₹ 4,991.00",UBER INDIA-INC,7GGVNKLKBA,INR
B24,11/09/25,"₹ 5,007.00",DMART_LTD,PX4VGF54NA,INR
B25,2025.10.20,"₹ 9,981.00",IRCTC INDIA POS-TRANS,4U8ASM8LDG,INR
B26,11/17/25,"₹ 1,005.00",IRCTC INDIA/ONLINE,LI8J7E1D4N,INR
B27,07-Oct-2025,₹ 775.00,SPOTIFY INDIA/ONLINE,DECOY0ZGL3,INR
B28,11/02/25,"₹ 25,009.00",BOOKMYSHOW INDIA-INC,,INR
B29,2025.11.07,₹ 806.00,BIGBASKET/ONLINE,CD0R7Q978U,INR
B30,16-Nov-2025,"₹ 1,021.00",MYNTRA-INC,,INR
B31,14-Oct-2025,"₹ 1,485.00",SPOTIFY CORP,QQG48WWRRM,INR
B32,10/24/25,"₹ 1,493.00",MAKEMYTRIP POS-TRANS,R7VTCJZKUR,INR
B33,25/10/2025,"₹ 15,004.00",AMAZONINDIA POS-TRANS,1VOS4YBJIH,INR
B34,2025.11.19,"₹ 9,984.00",IRCTC_LTD,U57J30J6OP,INR
B35,24/11/2025,"₹ 1,016.00",AMAZON_LTD,PRPRKUJO0C,INR
B36,2025.11.11,₹ 797.00,AIR.INDIA/ONLINE,ZQEYHQXIMD,INR
B37,10/01/25,"₹ 2,492.00",BOOKMYSHOW-INC,9IDODWMBDK,INR
B38,10/11/25,₹ 211.00,OLA CORP,MAKPDBTXYD,INR
B39,2025.11.12,"₹ 14,989.00",PAYTM MALL POS-TRANS,OIMWAXINTI,INR
B40,24/10/2025,₹ 205.00,IRCTC_LTD,N075K95A1K,INR
B41,11/28/25,₹ 519.00,AMAZON POS-TRANS,Y95AH7D9A7,INR
B42,2025.10.07,"₹ 1,505.00",INDIGO CORP,00KHO9R3B4,INR
B43,2025.10.15,₹ 287.00,AMAZON INDIA CORP,BBT88YR99K,INR
B44,25-Nov-2025,"₹ 15,025.00",UBER POS-TRANS,MENALGUK7I,INR
B45,2025.11.06,"₹ 1,519.00",UBER-INC,W1ARY3FL7E,INR
B46,22/10/2025,₹ 304.00,SWIGGY-INC,EN282XLB7F,INR
B47,11/18/25,"₹ 24,985.00",DMART_LTD,3UU2DX26AL,INR
B48,2025.11.28,"₹ 1,492.00",AIR INDIA INDIA-INC,8M4BFFYYGA,INR
B49,2025.10.20,₹ 800.00,GOOGLEPLAY-INC,RLDUR8C4SZ,INR
B50,10/27/25,₹ 500.00,APPLESTORE CORP,LLY84XJWJT,INR
B51,11/28/25,"₹ 2,515.00",RELIANCE MART POS-TRANS,99OT3FQCI2,INR
B52,2025.11.13,"₹ 9,987.00",UBER POS-TRANS,UQILED9CY9,INR
B53,2025.10.03,"₹ 15,012.00",DMART POS-TRANS,6KJC9L24FS,INR
B54,10/14/25,₹ 521.00,MYNTRA CORP,I5WYYIF0AA,INR
B55,10/21/25,"₹ 5,013.00",NETFLIX/ONLINE,,INR
B56,10/13/25,₹ 501.00,AIRINDIA CORP,U988MHF020,INR
B57,19-Nov-2025,₹ 994.00,FLIPKART-INC,IC4T8VS3BR,INR
B58,2025.10.26,"₹ 25,006.00",APPLE STORE INDIA_LTD,MZZKYEOOBS,INR
B59,10/04/25,"₹ 1,009.00",DMART *0912,,INR
B60,27-Oct-2025,"₹ 24,994.00",BIGBASKET/ONLINE,LBA0O6B5AF,INR
B61,30/10/2025,₹ 501.00,FLIPKART/ONLINE,,INR
B62,11/19/25,"₹ 10,005.00",AMAZON INDIA/ONLINE,3XF35253E4,INR
B63,22/11/2025,"₹ 15,019.00",ZOMATO POS-TRANS,3JCAHW1VCW,INR
B64,2025.11.15,"₹ 14,978.00",ZOMATO INDIA POS-TRANS,,INR
