id,date,amount,merchant,merchant_clean,reference,currency,source
B1,2025-11-22,1510.0,DMART_LTD,dmart,0NF5WM6AMT,INR,bank
B2,2025-11-12,996.0,ZOMATO/ONLINE,zomato,81ZZP5TVUH,INR,bank
B3,2025-11-12,183.0,DMART *0912,dmart 0912,6PMKT79BRE,INR,bank
B4,2025-11-01,308.0,RELIANCE/ONLINE,reliance,MM2AEII5W8,INR,bank
B5,2025-10-15,9985.0,APPLE.STORE-INC,apple store,,INR,bank
B6,2025-11-24,14975.0,NETFLIX_LTD,netflix,Z92YT37Q9K,INR,bank
B7,2025-10-31,2478.0,UBER *0912,uber 0912,QXIRPQOSEK,INR,bank
B8,2025-10-27,1500.0,GOOGLE PLAY INDIA POS-TRANS,google play,G1E87GHDK4,INR,bank
B9,2025-11-11,2484.0,DMART_LTD,dmart,C7Z7YKU459,INR,bank
B10,2025-11-12,9981.0,NETFLIX-INC,netflix,LPB1AKYBWR,INR,bank
B11,2025-11-04,15004.0,AIR INDIA CORP,air,,INR,bank
B12,2025-11-21,306.0,FLIPKART *0912,flipkart 0912,3CQ7GIA0Q1,INR,bank
B13,2025-11-01,1496.0,NETFLIX/ONLINE,netflix,6KV5UNFV0V,INR,bank
B14,2025-11-23,472.0,MYNTRA_LTD,myntra,JWP8BOY9OP,INR,bank
B15,2025-10-20,25010.0,MYNTRA INDIA-INC,myntra,,INR,bank
B16,2025-10-03,298.0,IRCTC/ONLINE,irctc,053XKOHUIZ,INR,bank
B17,2025-11-09,193.0,GOOGLE PLAY/ONLINE,google play,ACIPJ1AWSZ,INR,bank
B18,2025-11-10,994.0,APPLE STORE INDIA-INC,apple store,BGESTXBXYT,INR,bank
B19,2025-11-05,10017.0,FLIPKART INDIA_LTD,flipkart,TD1W7N5Q5O,INR,bank
B20,2025-10-13,209.0,DMART POS-TRANS,dmart,H6BPRA9Y0T,INR,bank
B21,2025-10-27,504.0,BIGBASKET-INC,bigbasket,2NAMXJHA6R,INR,bank
B22,2025-10-20,497.0,UBER INDIA/ONLINE,uber,L1M3W5H5BA,INR,bank
B23,2025-11-25,4991.0,UBER INDIA-INC,uber,7GGVNKLKBA,INR,bank
B24,2025-11-09,5007.0,DMART_LTD,dmart,PX4VGF54NA,INR,bank
B25,2025-10-20,9981.0,IRCTC INDIA POS-TRANS,irctc,4U8ASM8LDG,INR,bank
B26,2025-11-17,1005.0,IRCTC INDIA/ONLINE,irctc,LI8J7E1D4N,INR,bank
B27,2025-10-07,775.0,SPOTIFY INDIA/ONLINE,spotify,DECOY0ZGL3,INR,bank
B28,2025-11-02,25009.0,BOOKMYSHOW INDIA-INC,bookmyshow,,INR,bank
B29,2025-11-07,806.0,BIGBASKET/ONLINE,bigbasket,CD0R7Q978U,INR,bank
B30,2025-11-16,1021.0,MYNTRA-INC,myntra,,INR,bank
B31,2025-10-14,1485.0,SPOTIFY CORP,spotify,QQG48WWRRM,INR,bank
B32,2025-10-24,1493.0,MAKEMYTRIP POS-TRANS,makemytrip,R7VTCJZKUR,INR,bank
B33,2025-10-25,15004.0,AMAZONINDIA POS-TRANS,amazonindia,1VOS4YBJIH,INR,bank
B34,2025-11-19,9984.0,IRCTC_LTD,irctc,U57J30J6OP,INR,bank
B35,2025-11-24,1016.0,AMAZON_LTD,amazon,PRPRKUJO0C,INR,bank
B36,2025-11-11,797.0,AIR.INDIA/ONLINE,air,ZQEYHQXIMD,INR,bank
B37,2025-10-01,2492.0,BOOKMYSHOW-INC,bookmyshow,9IDODWMBDK,INR,bank
B38,2025-10-11,211.0,OLA CORP,ola,MAKPDBTXYD,INR,bank
B39,2025-11-12,14989.0,PAYTM MALL POS-TRANS,paytm mall,OIMWAXINTI,INR,bank
B40,2025-10-24,205.0,IRCTC_LTD,irctc,N075K95A1K,INR,bank
B41,2025-11-28,519.0,AMAZON POS-TRANS,amazon,Y95AH7D9A7,INR,bank
B42,2025-10-07,1505.0,INDIGO CORP,indigo,00KHO9R3B4,INR,bank
B43,2025-10-15,287.0,AMAZON INDIA CORP,amazon,BBT88YR99K,INR,bank
B44,2025-11-25,15025.0,UBER POS-TRANS,uber,MENALGUK7I,INR,bank
B45,2025-11-06,1519.0,UBER-INC,uber,W1ARY3FL7E,INR,bank
B46,2025-10-22,304.0,SWIGGY-INC,swiggy,EN282XLB7F,INR,bank
B47,2025-11-18,24985.0,DMART_LTD,dmart,3UU2DX26AL,INR,bank
B48,2025-11-28,1492.0,AIR INDIA INDIA-INC,air,8M4BFFYYGA,INR,bank
B49,2025-10-20,800.0,GOOGLEPLAY-INC,googleplay,RLDUR8C4SZ,INR,bank
B50,2025-10-27,500.0,APPLESTORE CORP,applestore,LLY84XJWJT,INR,bank
B51,2025-11-28,2515.0,RELIANCE MART POS-TRANS,reliance mart,99OT3FQCI2,INR,bank
B52,2025-11-13,9987.0,UBER POS-TRANS,uber,UQILED9CY9,INR,bank
B53,2025-10-03,15012.0,DMART POS-TRANS,dmart,6KJC9L24FS,INR,bank
B54,2025-10-14,521.0,MYNTRA CORP,myntra,I5WYYIF0AA,INR,bank
B55,2025-10-21,5013.0,NETFLIX/ONLINE,netflix,,INR,bank
B56,2025-10-13,501.0,AIRINDIA CORP,airindia,U988MHF020,INR,bank
B57,2025-11-19,994.0,FLIPKART-INC,flipkart,IC4T8VS3BR,INR,bank
B58,2025-10-26,25006.0,APPLE STORE INDIA_LTD,apple store,MZZKYEOOBS,INR,bank
B59,2025-10-04,1009.0,DMART *0912,dmart 0912,,INR,bank
B60,2025-10-27,24994.0,BIGBASKET/ONLINE,bigbasket,LBA0O6B5AF,INR,bank
B61,2025-10-30,501.0,FLIPKART/ONLINE,flipkart,,INR,bank
B62,2025-11-19,10005.0,AMAZON INDIA/ONLINE,amazon,3XF35253E4,INR,bank
B63,2025-11-22,15019.0,ZOMATO POS-TRANS,zomato,3JCAHW1VCW,INR,bank
B64,2025-11-15,14978.0,ZOMATO INDIA POS-TRANS,zomato,,INR,bank
B65,2025-10-01,171.0,OLA INDIA/ONLINE,ola,5FQY3RBE3I,INR,bank
B66,2025-12-01,2494.0,BIGBASKET POS-TRANS,bigbasket,,INR,bank
B67,2025-11-28,1027.0,SWIGGY POS-TRANS,swiggy,VCB1UAPPLV,INR,bank
B68,2025-11-09,197.0,ZOMATO POS-TRANS,zomato,ISNAC8ABM5,INR,bank
B69,2025-11-28,285.0,DMART INDIA-INC,dmart,UHHRW54DZI,INR,bank
B70,2025-10-14,499.0,UBER CORP,uber,VIW357XBHR,INR,bank
B71,2025-11-24,4991.0,IRCTC CORP,irctc,B2CP4BTVAG,INR,bank
B72,2025-11-20,24990.0,OLA CORP,ola,,INR,bank
B73,2025-11-08,25020.0,BOOKMYSHOW *0912,bookmyshow 0912,V38U51WGMP,INR,bank
B74,2025-11-09,2512.0,MYNTRA/ONLINE,myntra,EUTTYBFGSO,INR,bank
B75,2025-11-22,9985.0,SWIGGY_LTD,swiggy,JYAGYNQNL5,INR,bank
B76,2025-11-29,1494.0,DMART POS-TRANS,dmart,A8KPLT5Q62,INR,bank
B77,2025-10-10,482.0,AMAZON.INDIA CORP,amazon,KXQKYGF81R,INR,bank
B78,2025-10-30,527.0,OLA/ONLINE,ola,91E8KBJ7C1,INR,bank
B79,2025-10-14,289.0,GOOGLEPLAY CORP,googleplay,HBEQ9DFNJ0,INR,bank
B80,2025-11-24,504.0,MAKEMYTRIP/ONLINE,makemytrip,LQWTQP347X,INR,bank
B81,2025-11-05,1519.0,MAKEMYTRIP-INC,makemytrip,CYI0OZ3PO1,INR,bank
B82,2025-10-19,2505.0,AIR.INDIA *0912,air 0912,H48RQUEZWA,INR,bank
B83,2025-10-15,24996.0,AMAZON.INDIA-INC,amazon,AHB672XOC6,INR,bank
B84,2025-11-23,288.0,OLA POS-TRANS,ola,15PTNWFDZG,INR,bank
B85,2025-11-18,993.0,BIGBASKET POS-TRANS,bigbasket,J39BEW3B1E,INR,bank
B86,2025-11-01,501.0,MYNTRA CORP,myntra,,INR,bank
B87,2025-11-11,493.0,AMAZON INDIA INDIA_LTD,amazon,R2NNPBB4HI,INR,bank
B88,2025-12-01,2478.0,INDIGO POS-TRANS,indigo,QIHGXV1RK4,INR,bank
B89,2025-11-24,209.0,AMAZON/ONLINE,amazon,V6IUVHD8EL,INR,bank
B90,2025-10-24,304.0,BOOKMYSHOW CORP,bookmyshow,NGMJ3AJNYL,INR,bank
B91,2025-11-30,10009.0,IRCTC CORP,irctc,G1HM712JLH,INR,bank
B92,2025-11-04,985.0,DMART *0912,dmart 0912,AJZ8YN91DC,INR,bank
B93,2025-10-03,14999.0,ZOMATO-INC,zomato,UN8IXF64UM,INR,bank
B94,2025-11-16,303.0,IRCTC CORP,irctc,MS62TLQ0H3,INR,bank
B95,2025-10-28,818.0,IRCTC-INC,irctc,M9CO1BQ0XN,INR,bank
B96,2025-11-02,1475.0,BIGBASKET/ONLINE,bigbasket,50V3NWRHSG,INR,bank
B97,2025-10-24,15020.0,APPLESTORE-INC,applestore,VWRFXFL70J,INR,bank
B98,2025-10-15,797.0,UBER *0912,uber 0912,5IATOPV0R9,INR,bank
B99,2025-11-04,305.0,BIGBASKET POS-TRANS,bigbasket,SFAGKNMKZN,INR,bank
B100,2025-11-20,507.0,AMAZON INDIA-INC,amazon,3KEDC5RX3K,INR,bank
B101,2025-11-03,14996.0,PAYTM MALL CORP,paytm mall,QPRKLVSIWK,INR,bank
B102,2025-11-04,25024.0,GOOGLE PLAY INDIA-INC,google play,1Y4SCZOOD6,INR,bank
B103,2025-10-19,491.0,NETFLIX CORP,netflix,SIM5IJY6N5,INR,bank
B104,2025-11-23,783.0,BOOKMYSHOW POS-TRANS,bookmyshow,PW7C1AV78G,INR,bank
B105,2025-11-29,15007.0,IRCTC_LTD,irctc,G46LINOD5Q,INR,bank
B106,2025-11-19,4986.0,RELIANCE MART CORP,reliance mart,F6SWT8897Z,INR,bank
B107,2025-11-15,5011.0,IRCTC INDIA/ONLINE,irctc,FK4CXA9IJF,INR,bank
B108,2025-11-27,15019.0,MYNTRA_LTD,myntra,RRQL517L9I,INR,bank
B109,2025-11-08,1001.0,OLA INDIA CORP,ola,13QRUGPEFP,INR,bank
B110,2025-11-09,9997.0,PAYTM MALL/ONLINE,paytm mall,KZVXIX2YNB,INR,bank
B111,2025-11-02,10024.0,APPLESTORE CORP,applestore,SAIF0YEYC4,INR,bank
B112,2025-10-30,14981.0,MAKEMYTRIP *0912,makemytrip 0912,OWUEXXU4TE,INR,bank
B113,2025-11-28,485.0,MYNTRA_LTD,myntra,W2RF6DRT2B,INR,bank
B114,2025-10-26,481.0,MYNTRA CORP,myntra,,INR,bank
B115,2025-10-28,317.0,BIGBASKET POS-TRANS,bigbasket,HZ4NX7KNDO,INR,bank
B116,2025-10-04,821.0,AMAZON INDIA INDIA *0912,amazon 0912,QGMGC4X6V1,INR,bank
B117,2025-11-20,15017.0,ZOMATO-INC,zomato,,INR,bank
B118,2025-11-22,1515.0,IRCTC_LTD,irctc,AEX436A4HU,INR,bank
B119,2025-10-23,480.0,IRCTC CORP,irctc,HI1SHQLJB7,INR,bank
B120,2025-11-17,992.0,UBER POS-TRANS,uber,AV2UIK7D0K,INR,bank
B121,2025-10-11,1496.0,AIR POS-TRANS,air,2A0XMEXUVI,INR,bank
B122,2025-11-10,293.0,BIGBASKET_LTD,bigbasket,XM2Q8F8ZSW,INR,bank
B123,2025-10-01,2502.0,UBER *0912,uber 0912,IIE8LC886Q,INR,bank
B124,2025-11-12,496.0,ZOMATO *0912,zomato 0912,NCC5N8U4K1,INR,bank
B125,2025-10-02,4994.0,ZOMATO CORP,zomato,1K917V7G4U,INR,bank
B126,2025-10-16,979.0,SWIGGY *0912,swiggy 0912,DCV2IR99RT,INR,bank
B127,2025-10-04,185.0,OLA/ONLINE,ola,M9TTW386KS,INR,bank
B128,2025-10-26,491.0,NETFLIX-INC,netflix,,INR,bank
B129,2025-10-17,9998.0,SPOTIFY POS-TRANS,spotify,VPOWDEWIMU,INR,bank
B130,2025-11-18,1001.0,APPLE STORE-INC,apple store,8YTAFTH6Z4,INR,bank
B131,2025-11-05,2484.0,AIR INDIA POS-TRANS,air,VMXHH2X3T0,INR,bank
B132,2025-10-08,325.0,SWIGGY_LTD,swiggy,EWC8GNNH3Y,INR,bank
B133,2025-10-15,14979.0,SWIGGY *0912,swiggy 0912,,INR,bank
B134,2025-10-20,803.0,AMAZON INDIA INDIA-INC,amazon,OY149DZQ40,INR,bank
B135,2025-11-06,2482.0,IRCTC *0912,irctc 0912,F754A7XUDE,INR,bank
B136,2025-11-11,4976.0,GOOGLE PLAY *0912,google play 0912,PVG8BNYB7Z,INR,bank
B137,2025-11-19,10002.0,INDIGO-INC,indigo,JLOIAI0R2Q,INR,bank
B138,2025-10-17,824.0,INDIGO POS-TRANS,indigo,9FFQ57271O,INR,bank
B139,2025-10-11,24984.0,FLIPKART *0912,flipkart 0912,WUFPUAP1V9,INR,bank
B140,2025-11-28,213.0,BOOKMYSHOW CORP,bookmyshow,D29E1TBK4U,INR,bank
B141,2025-11-13,485.0,ZOMATO CORP,zomato,4VYH535SLN,INR,bank
B142,2025-10-20,5003.0,SWIGGY/ONLINE,swiggy,X5F0GBU9XG,INR,bank
B143,2025-11-12,14991.0,BOOKMYSHOW POS-TRANS,bookmyshow,EMDYMIOA2D,INR,bank
B144,2025-11-21,1021.0,DMART INDIA *0912,dmart 0912,5MODC71YOJ,INR,bank
B145,2025-11-16,1001.0,PAYTM MALL INDIA CORP,paytm mall,JJ7W1CZMTS,INR,bank
B146,2025-10-01,25001.0,GOOGLEPLAY_LTD,googleplay,U4V4J3VPEE,INR,bank
B147,2025-11-03,10007.0,AMAZON INDIA INDIA POS-TRANS,amazon,898P92LO4P,INR,bank
B148,2025-11-16,181.0,BIGBASKET CORP,bigbasket,SN9ECMMKQI,INR,bank
B149,2025-10-22,482.0,IRCTC *0912,irctc 0912,,INR,bank
B150,2025-10-04,10009.0,PAYTM.MALL-INC,paytm mall,VGM35JBMAI,INR,bank
B151,2025-10-28,1518.0,OLA CORP,ola,FILNPTN0I2,INR,bank
B152,2025-10-27,1013.0,BIGBASKET/ONLINE,bigbasket,,INR,bank
B153,2025-11-16,15005.0,NETFLIX *0912,netflix 0912,F9K5IYA898,INR,bank
B154,2025-10-31,15014.0,NETFLIX INDIA-INC,netflix,TU7DOTA0FP,INR,bank
B155,2025-11-04,786.0,BIGBASKET_LTD,bigbasket,5J8HEYMHV1,INR,bank
B156,2025-11-20,175.0,NETFLIX *0912,netflix 0912,A134Y68GQC,INR,bank
B157,2025-11-13,798.0,APPLE STORE CORP,apple store,TNHTMF39DM,INR,bank
B158,2025-11-11,24994.0,RELIANCE.MART *0912,reliance mart 0912,YBD4ZTDPN1,INR,bank
B159,2025-10-04,500.0,SPOTIFY INDIA POS-TRANS,spotify,5FGHSRD9AL,INR,bank
B160,2025-10-17,1509.0,OLA INDIA POS-TRANS,ola,HFO9FXIODU,INR,bank
B161,2025-10-13,981.0,UBER-INC,uber,UJJXNBDC86,INR,bank
B162,2025-10-27,1517.0,UBER POS-TRANS,uber,KK5ZOS99PF,INR,bank
B163,2025-11-16,1519.0,UBER_LTD,uber,1AFZJ0NHKJ,INR,bank
B164,2025-11-16,9996.0,INDIGO/ONLINE,indigo,E2QXR1WYMD,INR,bank
B165,2025-10-17,5021.0,INDIGO *0912,indigo 0912,VOYM8F2DQI,INR,bank
B166,2025-10-06,10011.0,MAKEMYTRIP CORP,makemytrip,RXA4ZJ3FAN,INR,bank
B167,2025-10-23,488.0,DMART/ONLINE,dmart,T82HLWDS2U,INR,bank
B168,2025-10-31,791.0,IRCTC_LTD,irctc,UE8ATA4U6J,INR,bank
B169,2025-10-11,9993.0,APPLE.STORE *0912,apple store 0912,G61D62D2AU,INR,bank
B170,2025-11-23,1506.0,OLA INDIA/ONLINE,ola,FXF2RVK2CR,INR,bank
B171,2025-10-28,1501.0,UBER CORP,uber,EBOT841XRT,INR,bank
B172,2025-10-06,192.0,INDIGO POS-TRANS,indigo,9FZV5WE42P,INR,bank
B173,2025-10-10,984.0,FLIPKART *0912,flipkart 0912,QHFTLVF797,INR,bank
B174,2025-11-03,15001.0,SWIGGY-INC,swiggy,B9HJP12Q5T,INR,bank
B175,2025-11-21,25019.0,AIRINDIA/ONLINE,airindia,9X4AG0331S,INR,bank
B176,2025-10-22,811.0,RELIANCE.MART CORP,reliance mart,CVT6WRBAJ0,INR,bank
B177,2025-11-16,211.0,INDIGO CORP,indigo,G958R5WCTW,INR,bank
B178,2025-10-05,514.0,OLA-INC,ola,IA313P62V0,INR,bank
B179,2025-11-01,807.0,AIR INDIA-INC,air,XTXEO95A89,INR,bank
B180,2025-11-08,222.0,AMAZON INDIA_LTD,amazon,PHN6W20GRR,INR,bank
B181,2025-11-07,289.0,MAKEMYTRIP POS-TRANS,makemytrip,QBZ3RJCXA9,INR,bank
B182,2025-11-11,25004.0,IRCTC POS-TRANS,irctc,6136K3ZIHK,INR,bank
B183,2025-11-25,1522.0,BIGBASKET-INC,bigbasket,R84RFW9QHJ,INR,bank
B184,2025-10-02,477.0,DMART_LTD,dmart,2IZ8P38CLA,INR,bank
B185,2025-11-23,2490.0,RELIANCE.MART *0912,reliance mart 0912,,INR,bank
B186,2025-11-09,806.0,SPOTIFY CORP,spotify,,INR,bank
