id,date,amount,merchant,reference,currency
L1,2025-10-06,196,Myntra,J45NUMBEUZ,INR
L2,2025-11-27,479,Myntra,15NA0DBYE6,INR
L3,2025-11-06,1006,IRCTC,J41M2HVS3L,INR
L4,2025-10-28,2511,Air India,WX6RYNB1G3,INR
L5,2025-10-11,4995,Reliance Mart,MOCQUMGDWA,INR
L6,2025-10-26,1493,Air India,S3CKR1ZT9F,INR
L7,2025-10-25,10007,MakeMyTrip,BEGJMJPPDC,INR
L8,2025-10-06,1484,Myntra,62NTWBL8BU,INR
L9,2025-10-02,2501,Ola,5PZYNIC5CS,INR
L10,2025-10-10,9998,Google Play,1OE9SW2NCE,INR
L11,2025-10-23,24980,MakeMyTrip,509YK2BS5S,INR
L12,2025-11-02,500,Zomato,TN6MJSHLO7,INR
L13,2025-11-02,291,Netflix,16AJIVDTE6,INR
L14,2025-11-20,9987,IRCTC,ROBZ35M647,INR
L15,2025-10-01,15019,Paytm Mall,VRZEB5NYPM,INR
L16,2025-11-21,5000,Netflix,3G9COS3GUN,INR
L17,2025-11-28,986,Apple Store,SVBNVKQ1ZI,INR
L18,2025-11-23,4996,MakeMyTrip,UM8QU7MBEP,INR
L19,2025-10-31,4987,Air India,B9F56H5Q65,INR
L20,2025-11-27,1016,Amazon India,LNYCJGOPVR,INR
L21,2025-10-03,491,Apple Store,S174K5QKDP,INR
L22,2025-10-18,10014,Netflix,S7WO2QCPXS,INR
L23,2025-10-09,510,Netflix,799IHOAOLB,INR
L24,2025-11-14,806,Google Play,7KKXLS02QO,INR
L25,2025-10-26,10006,Air India,GC65KRZDE7,INR
L26,2025-11-09,1514,Amazon India,QMNOBS5DX0,INR
L27,2025-10-25,24992,Ola,P5F5F2LDHP,INR
L28,2025-10-04,804,Flipkart,FQDYM833IP,INR
L29,2025-10-06,24988,Amazon India,KYMICTDIIU,INR
L30,2025-11-27,217,Air India,JP9NW45VMY,INR
L31,2025-11-02,201,Amazon India,XCZVQDV0HW,INR
L32,2025-10-14,291,DMart,PRXTTNJB6W,INR
L33,2025-10-24,491,Ola,D9VJ6CCJEO,INR
L34,2025-11-03,14995,Air India,5XE6K259L8,INR
