txn_id,entry_date,amt,vendor,ref_code,cur
L1,06-10-2025,196,Myntra,J45NUMBEUZ,INR
L2,27-11-2025,479,Myntra,15NA0DBYE6,INR
L3,06-11-2025,1006,IRCTC,J41M2HVS3L,INR
L4,28-10-2025,2511,Air India,WX6RYNB1G3,INR
L5,11-10-2025,4995,Reliance Mart,MOCQUMGDWA,INR
L6,26-10-2025,1493,Air India,S3CKR1ZT9F,INR
L7,25-10-2025,10007,MakeMyTrip,BEGJMJPPDC,INR
L8,06-10-2025,1484,Myntra,62NTWBL8BU,INR
L9,02-10-2025,2501,Ola,5PZYNIC5CS,INR
L10,10-10-2025,9998,Google Play,1OE9SW2NCE,INR
L11,23-10-2025,24980,MakeMyTrip,509YK2BS5S,INR
L12,02-11-2025,500,Zomato,TN6MJSHLO7,INR
L13,02-11-2025,291,Netflix,16AJIVDTE6,INR
L14,20-11-2025,9987,IRCTC,ROBZ35M647,INR
L15,01-10-2025,15019,Paytm Mall,VRZEB5NYPM,INR
L16,21-11-2025,5000,Netflix,3G9COS3GUN,INR
L17,28-11-2025,986,Apple Store,SVBNVKQ1ZI,INR
L18,23-11-2025,4996,MakeMyTrip,UM8QU7MBEP,INR
L19,31-10-2025,4987,Air India,B9F56H5Q65,INR
L20,27-11-2025,1016,Amazon India,LNYCJGOPVR,INR
L21,03-10-2025,491,Apple Store,S174K5QKDP,INR
L22,18-10-2025,10014,Netflix,S7WO2QCPXS,INR
L23,09-10-2025,510,Netflix,799IHOAOLB,INR
L24,14-11-2025,806,Google Play,7KKXLS02QO,INR
L25,26-10-2025,10006,Air India,GC65KRZDE7,INR
L26,09-11-2025,1514,Amazon India,QMNOBS5DX0,INR
L27,25-10-2025,24992,Ola,P5F5F2LDHP,INR
L28,04-10-2025,804,Flipkart,FQDYM833IP,INR
L29,06-10-2025,24988,Amazon India,KYMICTDIIU,INR
L30,27-11-2025,217,Air India,JP9NW45VMY,INR
L31,02-11-2025,201,Amazon India,XCZVQDV0HW,INR
L32,14-10-2025,291,DMart,PRXTTNJB6W,INR
L33,24-10-2025,491,Ola,D9VJ6CCJEO,INR
L34,03-11-2025,14995,Air India,5XE6K259L8,INR
L35,23-11-2025,184,Zomato,W7PN767G6N,INR
L36,16-10-2025,2492,Amazon India,3E4GJG53CA,INR
L37,18-10-2025,15004,BookMyShow,BYZ5LTX9XL,INR
L38,14-10-2025,806,IRCTC,BC28GBI3Q8,INR
L39,15-11-2025,2515,Myntra,Z7C3HP77ZH,INR
L40,24-11-2025,188,IndiGo,DZ425WMGX9,INR
L41,06-10-2025,24985,Flipkart,HXX2XKSZK4,INR
L42,24-11-2025,10012,Air India,D4AUZSVXD6,INR
L43,21-11-2025,819,Air India,RN3QXKTUV2,INR
L44,11-10-2025,1491,Flipkart,NVRNPGDXCU,INR
L45,13-11-2025,511,Zomato,1RSIWSM7WO,INR
L46,22-10-2025,24996,IRCTC,GDZBS1NBFX,INR
L47,17-11-2025,25004,Ola,15SX1RYQJ9,INR
L48,29-10-2025,10019,Spotify,C05OBPODLQ,INR
L49,15-11-2025,281,DMart,N28TYU03ZX,INR
L50,09-10-2025,190,MakeMyTrip,HYQXA87J7T,INR
L51,23-10-2025,24983,Netflix,2EESVSOR2G,INR
L52,14-11-2025,800,Myntra,0ECSNHDEGC,INR
L53,22-11-2025,306,MakeMyTrip,7PQBB78O30,INR
L54,05-10-2025,1501,Reliance Mart,VEPSBHKZFV,INR
L55,04-11-2025,1493,Flipkart,W4HIRHL1HR,INR
L56,10-11-2025,1509,MakeMyTrip,Q6P6COQD54,INR
L57,06-11-2025,2515,Paytm Mall,TICZ2PVV1G,INR
L58,28-11-2025,9994,Myntra,39UTNY79MV,INR
L59,27-10-2025,498,Uber,FJI3KVB571,INR
L60,02-10-2025,15007,Ola,FLXFBIMD6P,INR
L61,03-11-2025,314,Flipkart,VID6ILQENO,INR
L62,01-11-2025,218,Google Play,P0FUGKYPFY,INR
L63,03-11-2025,789,Ola,I6EKGAZWYI,INR
L64,20-11-2025,24993,Paytm Mall,PZ52JKIFHG,INR
L65,27-10-2025,24984,IndiGo,KRGLCTDQAJ,INR
L66,21-11-2025,507,MakeMyTrip,4ER9NE98ZJ,INR
L67,07-10-2025,9984,Amazon India,XM4QFIXLZ1,INR
L68,16-10-2025,25014,Myntra,NF9N51TPXZ,INR
L69,15-10-2025,809,Paytm Mall,I8M3W8AQQY,INR
L70,17-10-2025,780,Uber,2GG16IEX2T,INR
L71,06-11-2025,203,Myntra,J2X2C0PX66,INR
L72,18-10-2025,505,MakeMyTrip,TRBIQPDR6W,INR
L73,24-11-2025,15002,Uber,8HYCSSTRWG,INR
L74,11-11-2025,2519,Netflix,SHGXSG5KQE,INR
L75,09-10-2025,2499,Spotify,F8W8DPC1N1,INR
L76,11-11-2025,14981,Paytm Mall,O00XGH14KO,INR
L77,10-11-2025,5016,Google Play,HL7V1JWNVF,INR
L78,05-10-2025,5012,Uber,FPBMYXHAXG,INR
L79,17-10-2025,14987,Spotify,P7SNGA0W8V,INR
L80,16-10-2025,789,Flipkart,5MHOU6TL19,INR
L81,28-10-2025,515,Ola,LM0UB1X19Z,INR
L82,02-10-2025,210,Paytm Mall,7CCZDMGJGI,INR
L83,05-10-2025,181,IndiGo,HLEF80UYIP,INR
L84,12-11-2025,4983,DMart,4XC6VIUIID,INR
L85,20-10-2025,1018,Zomato,IAJ78ESL2Z,INR
L86,19-11-2025,984,IndiGo,XSI464HPB2,INR
L87,07-10-2025,185,IRCTC,OSZZATX80F,INR
L88,09-11-2025,14989,BookMyShow,XKJ75AD4CO,INR
L89,22-10-2025,25008,Zomato,EY2967WTUL,INR
L90,11-11-2025,5019,BookMyShow,7G22QCQ5QI,INR
L91,21-10-2025,2498,Air India,1T8YTTASPE,INR
L92,09-10-2025,5006,MakeMyTrip,0E5FID8VKE,INR
L93,19-10-2025,25006,Swiggy,I9UBSN1WJ4,INR
L94,12-11-2025,1008,Air India,HCHYSYEGCM,INR
L95,30-11-2025,805,MakeMyTrip,1ASAZPGKK8,INR
L96,26-11-2025,194,MakeMyTrip,I4N4F9603U,INR
L97,23-11-2025,808,Ola,ATEG2474A5,INR
L98,30-11-2025,808,IRCTC,Y81SMY5D49,INR
L99,14-10-2025,14995,BigBasket,VMSAGHKGA4,INR
L100,01-11-2025,1518,Air India,QKFEIVZ56N,INR
L101,20-10-2025,192,IRCTC,8XB4Z638RH,INR
L102,06-11-2025,2486,Air India,VMXHH2X3T0,INR
L103,27-10-2025,495,Google Play,10GDLJXAYO,INR
L104,24-11-2025,25015,DMart,U898N8177Y,INR
L105,27-11-2025,1492,Flipkart,Z469V7DLN1,INR
L106,20-10-2025,14989,Air India,GR4BKOXTMD,INR
L107,04-11-2025,983,Netflix,B89SWSEJMO,INR
L108,05-11-2025,14990,Netflix,6HU9IGJWBM,INR
L109,13-10-2025,9981,IRCTC,EWYN5958BX,INR
