id,date,amount,merchant,merchant_clean,reference,currency,source
L1,2025-10-06,196.0,Myntra,myntra,J45NUMBEUZ,INR,ledger
L2,2025-11-27,479.0,Myntra,myntra,15NA0DBYE6,INR,ledger
L3,2025-11-06,1006.0,IRCTC,irctc,J41M2HVS3L,INR,ledger
L4,2025-10-28,2511.0,Air India,air,WX6RYNB1G3,INR,ledger
L5,2025-10-11,4995.0,Reliance Mart,reliance mart,MOCQUMGDWA,INR,ledger
L6,2025-10-26,1493.0,Air India,air,S3CKR1ZT9F,INR,ledger
L7,2025-10-25,10007.0,MakeMyTrip,makemytrip,BEGJMJPPDC,INR,ledger
L8,2025-10-06,1484.0,Myntra,myntra,62NTWBL8BU,INR,ledger
L9,2025-10-02,2501.0,Ola,ola,5PZYNIC5CS,INR,ledger
L10,2025-10-10,9998.0,Google Play,google play,1OE9SW2NCE,INR,ledger
L11,2025-10-23,24980.0,MakeMyTrip,makemytrip,509YK2BS5S,INR,ledger
L12,2025-11-02,500.0,Zomato,zomato,TN6MJSHLO7,INR,ledger
L13,2025-11-02,291.0,Netflix,netflix,16AJIVDTE6,INR,ledger
L14,2025-11-20,9987.0,IRCTC,irctc,ROBZ35M647,INR,ledger
L15,2025-10-01,15019.0,Paytm Mall,paytm mall,VRZEB5NYPM,INR,ledger
L16,2025-11-21,5000.0,Netflix,netflix,3G9COS3GUN,INR,ledger
L17,2025-11-28,986.0,Apple Store,apple store,SVBNVKQ1ZI,INR,ledger
L18,2025-11-23,4996.0,MakeMyTrip,makemytrip,UM8QU7MBEP,INR,ledger
L19,2025-10-31,4987.0,Air India,air,B9F56H5Q65,INR,ledger
L20,2025-11-27,1016.0,Amazon India,amazon,LNYCJGOPVR,INR,ledger
L21,2025-10-03,491.0,Apple Store,apple store,S174K5QKDP,INR,ledger
L22,2025-10-18,10014.0,Netflix,netflix,S7WO2QCPXS,INR,ledger
L23,2025-10-09,510.0,Netflix,netflix,799IHOAOLB,INR,ledger
L24,2025-11-14,806.0,Google Play,google play,7KKXLS02QO,INR,ledger
L25,2025-10-26,10006.0,Air India,air,GC65KRZDE7,INR,ledger
L26,2025-11-09,1514.0,Amazon India,amazon,QMNOBS5DX0,INR,ledger
L27,2025-10-25,24992.0,Ola,ola,P5F5F2LDHP,INR,ledger
L28,2025-10-04,804.0,Flipkart,flipkart,FQDYM833IP,INR,ledger
L29,2025-10-06,24988.0,Amazon India,amazon,KYMICTDIIU,INR,ledger
L30,2025-11-27,217.0,Air India,air,JP9NW45VMY,INR,ledger
L31,2025-11-02,201.0,Amazon India,amazon,XCZVQDV0HW,INR,ledger
L32,2025-10-14,291.0,DMart,dmart,PRXTTNJB6W,INR,ledger
L33,2025-10-24,491.0,Ola,ola,D9VJ6CCJEO,INR,ledger
L34,2025-11-03,14995.0,Air India,air,5XE6K259L8,INR,ledger
L35,2025-11-23,184.0,Zomato,zomato,W7PN767G6N,INR,ledger
L36,2025-10-16,2492.0,Amazon India,amazon,3E4GJG53CA,INR,ledger
L37,2025-10-18,15004.0,BookMyShow,bookmyshow,BYZ5LTX9XL,INR,ledger
L38,2025-10-14,806.0,IRCTC,irctc,BC28GBI3Q8,INR,ledger
L39,2025-11-15,2515.0,Myntra,myntra,Z7C3HP77ZH,INR,ledger
L40,2025-11-24,188.0,IndiGo,indigo,DZ425WMGX9,INR,ledger
L41,2025-10-06,24985.0,Flipkart,flipkart,HXX2XKSZK4,INR,ledger
L42,2025-11-24,10012.0,Air India,air,D4AUZSVXD6,INR,ledger
L43,2025-11-21,819.0,Air India,air,RN3QXKTUV2,INR,ledger
L44,2025-10-11,1491.0,Flipkart,flipkart,NVRNPGDXCU,INR,ledger
L45,2025-11-13,511.0,Zomato,zomato,1RSIWSM7WO,INR,ledger
L46,2025-10-22,24996.0,IRCTC,irctc,GDZBS1NBFX,INR,ledger
L47,2025-11-17,25004.0,Ola,ola,15SX1RYQJ9,INR,ledger
L48,2025-10-29,10019.0,Spotify,spotify,C05OBPODLQ,INR,ledger
L49,2025-11-15,281.0,DMart,dmart,N28TYU03ZX,INR,ledger
